Section,Phase,Item,Unit,Price,Notes
PointOfEntrance,Single,24ft. x 5mm Fabricated Electrical Steel Pole,each,,
PointOfEntrance,Single,30ft. x 5mm Fabricated Electrical Steel Pole,each,,
PointOfEntrance,Single,100A 1-Phase Meter Base,each,,
PointOfEntrance,Single,125A 1-Phase Meter Base ,each,,
PointOfEntrance,Single,200A 1-Phase Meter Base ,each,,
PointOfEntrance,Single,200A 1-Phase Meter Base - Jumbo,each,,
PointOfEntrance,Single,200A 3-Phase Meter Base ,each,,
PointOfEntrance,Single,Reducer,each,,
PointOfEntrance,Single,3 x 25mm² PVC armored cable,m,,
PointOfEntrance,Single,3 x 35mm² PVC armored cable,m,,
PointOfEntrance,Single,3 x 50mm² PVC armored cable ,m,,
PointOfEntrance,Single,3 x 70mm² PVC armored cable,m,,
PointOfEntrance,Single,3 x 95mm² PVC armored cable,m,,
PointOfEntrance,Single,3 x 120mm² PVC armored cable,m,,
PointOfEntrance,Single,3 x 150mm² PVC armored cable,m,,
PointOfEntrance,Single,3 x 185mm² PVC armored cable,m,,
PointOfEntrance,Three,3 x 240mm² PVC armored cable,m,,
PointOfEntrance,Three,4 x 25mm² PVC armored cable,m,,
PointOfEntrance,Three,4 x 35mm² PVC armored cable,m,,
PointOfEntrance,Three,4 x 50mm² PVC armored cable ,m,,
PointOfEntrance,Three,4 x 70mm² PVC armored cable,m,,
PointOfEntrance,Three,4 x 95mm² PVC armored cable,m,,
PointOfEntrance,Three,4 x 120mm² PVC armored cable,m,,
PointOfEntrance,Three,4 x 150mm² PVC armored cable,m,,
PointOfEntrance,Three,4 x 185mm² PVC armored cable,m,,
PointOfEntrance,Three,4 x 240mm² PVC armored cable,m,,
PointOfEntrance,Three,3 x 25mm² XLPE armored cable,m,,
PointOfEntrance,Three,3 x 35mm² XLPE armored cable,m,,
PointOfEntrance,Three,3 x 50mm² XLPE armored cable ,m,,
PointOfEntrance,Three,3 x 70mm² XLPE armored cable,m,,
PointOfEntrance,Three,3 x 95mm² XLPE armored cable,m,,
PointOfEntrance,Three,3 x 120mm² XLPE armored cable,m,,
PointOfEntrance,Both,3 x 150mm² XLPE armored cable,m,,
PointOfEntrance,Both,3 x 185mm² XLPE armored cable,m,,
PointOfEntrance,Both,3 x 240mm² XLPE armored cable,m,,
PointOfEntrance,Both,4 x 25mm² XLPE armored cable,m,,
PointOfEntrance,Both,4 x 35mm² XLPE armored cable,m,,
PointOfEntrance,Both,4 x 50mm² XLPE armored cable ,m,,
PointOfEntrance,Both,4 x 70mm² XLPE armored cable,m,,
PointOfEntrance,Both,4 x 95mm² XLPE armored cable,m,,
PointOfEntrance,Both,4 x 120mm² XLPE armored cable,m,,
PointOfEntrance,Both,4 x 150mm² XLPE armored cable,m,,
PointOfEntrance,Both,4 x 185mm² XLPE armored cable,m,,
PointOfEntrance,Both,4 x 240mm² XLPE armored cable,m,,
PointOfEntrance,Both,8ft. copper electrode,each,,
PointOfEntrance,Both,200A copper lugs,each,,
PointOfEntrance,Both,12 Circuit 1-PH Panel,each,,
PointOfEntrance,Both,20 Circuit 1-PH Panel,each,,
PointOfEntrance,Both,30 Circuit 1-PH Panel,each,,
PointOfEntrance,Both,30 Circuit 3-PH Panel,each,,
PointOfEntrance,Both,Shims,each,,
PointOfEntrance,Both,2-Way 200A 1-PH Meter Bank,each,,
PointOfEntrance,Both,2-Way 200A 3-PH Meter Bank,each,,
PointOfEntrance,Both,D-Iron,each,,
PointOfEntrance,Both,Weather proof glands,each,,
PointOfEntrance,Both,mm² s/s wire (green) (m),m,,
PointOfEntrance,Both,Earth Lug,each,,
PointOfEntrance,Both,350MCM split bolts,each,,
PointOfEntrance,Both,300MCM split bolts,each,,
PointOfEntrance,Both,250MCM split bolts,each,,
PointOfEntrance,Both,200A Main Breakers,each,,
Section2,Both,"1"" PVC conduit",length,,
Section2,Both,"3/4"" PVC conduit",length,,
Section2,Both,"1/2"" PVC conduit",length,,
Section2,Both,"1"" EMT conduit",length,,
Section2,Both,"3/4"" EMT conduit",length,,
Section2,Both,"1/2"" EMT conduit",length,,
Section2,Both,"1"" PVC ends",each,,
Section2,Both,"3/4"" PVC ends",each,,
Section2,Both,"1/2"" PVC ends",each,,
Section2,Both,"1"" EMT clamps",each,,
Section2,Both,"3/4"" EMT clamps",each,,
Section2,Both,"1/2"" EMT clamps",each,,
Section2,Both,"1"" couplings",each,,
Section2,Both,"3/4"" couplings",each,,
Section2,Both,"1/2"" couplings",each,,
Section2,Both,10mm² s/s wire,roll,,
Section2,Both,6.0mm² s/s wire,roll,,
Section2,Both,4.0mm² s/s wire,roll,,
Section2,Both,2.5mm² s/s wire,roll,,
Section2,Both,1.5mm² s/s wire,roll,,
Section2,Both,4.0mm² ECC wire,roll,,
Section2,Both,2.5mm² ECC wire,roll,,
Section2,Both,1.5mm² ECC wire,roll,,
Section2,Both,4x11/16 PVC cans,each,,
Section2,Both,4x4 PVC cans,each,,
Section2,Both,2x4 PVC cans,each,,
Section2,Both,4x11/16 EMT cans,each,,
Section2,Both,4x4 EMT cans,each,,
Section2,Both,2x4 EMT cans,each,,
Section2,Both,3x6 EMT can,each,,
Section2,Both,3x3 EMT can,each,,
Section2,Both,3x3 PVC can,each,,
Section2,Both,Octagon PVC cans,each,,
Section2,Both,Octagon EMT cans,each,,
Section2,Both,4x4 Plastering device covers,each,,
Section2,Both,4x4 Single device covers,each,,
Section2,Both,4x11/16 Plastering device covers,each,,
Section2,Both,4x11/16 Single device covers,each,,
Section2,Both,1-gang switch plates,each,,
Section2,Both,2-gang switch plates,each,,
Section2,Both,3-gang switch plates,each,,
Section2,Both,115V Duplex Plug outlet,each,,
Section2,Both,GFCI outlets,each,,
Section2,Both,30A 220V pilot light toggle switch,each,,
Section2,Both,20A 220V pilot light toggle switch,each,,
Section2,Both,20A 220V Tandem Plug outlet,each,,
Section2,Both,30A 220V Plug outlet,each,,
Section2,Both,50A 220V Plug outlet,each,,
Section2,Both,45A Cooker Plug outlet,each,,
Section2,Both,1-Way switches,each,,
Section2,Both,2-Way switches,each,,
Section2,Both,weather proof plug covers,each,,
Section2,Both,Reducing washers,each,,
Section2,Both,Electrical Tape,roll,,
Section2,Both,Yellow connectors,each,,
Section2,Both,Red connectors,each,,
Section2,Both,Blue connectors,each,,
Section2,Both,70A copper lugs,each,,
Section2,Both,125A copper lugs,each,,
Section3,Both,175A copper lugs,each,,
Section4,Both,225A copper lugs,each,,
Section4,Both,300A copper lugs,each,,
Section2,Both,"1/4"" x 1"" screw and nut",each,,
Section2,Both,"4"" light receptacles",each,,
Section2,Both,1x10 self-thread screws,each,,
Section2,Both,Green rawl plugs,each,,
Section2,Both,"1"" gypsum screws",each,,
Section2,Both,225A three-pole BJ-Type breaker,each,,
Section2,Both,200A three-pole BJ-Type breaker,each,,
Section2,Both,175A three-pole BJ-Type breaker,each,,
Section2,Both,150A three-pole BJ-Type breaker,each,,
Section2,Both,125A three-pole BJ-Type breaker,each,,
Section2,Both,225A three-pole BJ-Type breaker,each,,
Section2,Both,200A double-pole BJ-Type breaker,each,,
Section2,Both,175A double-pole BJ-Type breaker,each,,
Section2,Both,150A double-pole BJ-Type breaker,each,,
Section2,Both,125A double-pole BJ-Type breaker,each,,
Section2,Both,100A three-pole breaker,each,,
Section2,Both,90A three-pole breaker,each,,
Section2,Both,70A three-pole breaker,each,,
Section2,Both,60A three-pole breaker,each,,
Section2,Both,50A three-pole breaker,each,,
Section2,Both,40A three-pole breaker,each,,
Section2,Both,30A three-pole breaker,each,,
Section2,Both,20A three-pole breaker,each,,
Section2,Both,15A three-pole breaker,each,,
Section2,Both,125A double-pole breaker,each,,
Section2,Both,100A double-pole breaker,each,,
Section2,Both,90A double-pole breaker,each,,
Section2,Both,70A three-pole breaker,each,,
Section2,Both,60A double-pole breaker,each,,
Section2,Both,50A double-pole breaker,each,,
Section2,Both,40A double-pole breaker,each,,
Section2,Both,30A double-pole breaker,each,,
Section2,Both,20A double-pole breaker,each,,
Section2,Both,30A single-pole breaker,each,,
Section2,Both,20A single-pole breaker,each,,
Section2,Both,15A single-pole breaker,each,,
