SKU,Item,Unit,,
HDW-001,1 1/2" - 1" Reducing washers,each,,
HDW-002,1 1/2" EMT clamps,each,,
SRV-001,1 1/2" Heat Shrink,ft.,,
HDW-003,1 1/2" purlin screws,each,,
HDW-004,1 1/2x12 self-thread screws,each,,
HDW-005,1 1/4" - 1" Reducing washers,each,,
HDW-006,1 1/4" EMT clamps,each,,
HDW-007,1 1/4" purlin screws,each,,
HDW-008,1 1/4" x 1/2" Bolt and Nut,each,,
DEV-001,1-gang switch plates (Bticino),each,,
DEV-002,1-gang switch plates (Vimar),each,,
DEV-003,1-Way switches (Bticino),each,,
DEV-004,1-Way switches (Vimar),each,,
GEN-001,1.5mm² ECC wire,roll,,
GEN-002,1.5mm² s/s wire,roll,,
HDW-009,1" - 3/4" Reducing washers,each,,
CON-001,1" couplings,each,,
CON-002,1" EMT clamps,each,,
CON-003,1" EMT conduit,length,,
HDW-010,1" gypsum screws,each,,
HDW-011,1" purlin screws,each,,
CON-004,1" PVC conduit,length,,
CON-005,1" PVC ends,each,,
CON-006,1" PVC trunking,length,,
CON-007,1/2" couplings,each,,
CON-008,1/2" EMT clamps,each,,
CON-009,1/2" EMT conduit,length,,
CON-010,1/2" PVC conduit,length,,
CON-011,1/2" PVC ends,each,,
CON-012,1/2" PVC trunking,length,,
HDW-012,1/4" x 1" screw and nut,each,,
SRV-002,100A 1-Phase Meter Base,each,,
DST-001,100A double-pole breaker,each,,
DST-002,100A THQMV breaker,each,,
DST-003,100A three-pole breaker,each,,
GEN-003,10mm² s/s wire,roll,,
DEV-005,110V plug weather proof covers,each,,
DEV-006,115V Chrome Duplex plug cover,each,,
DEV-007,115V Duplex plug cover,each,,
DEV-008,115V Duplex Plug outlet,each,,
DST-004,12 Circuit 1-PH Panel,each,,
SRV-003,125A 1-Phase Meter Base,each,,
TRM-001,125A copper lugs,each,,
DST-005,125A double-pole BJ-Type breaker,each,,
DST-006,125A double-pole breaker,each,,
DST-007,125A double-pole breaker - Delexi Large Frame,each,,
DST-008,125A THQMV breaker,each,,
DST-009,125A three-pole BJ-Type breaker,each,,
BOX-001,12x12 EMT pull box,each,,
DST-010,150A double-pole BJ-Type breaker (Modern),each,,
DST-011,150A double-pole BJ-Type breaker (Voltron),each,,
DST-012,150A THQMV breaker,each,,
DST-013,150A three-pole BJ-Type breaker,each,,
DST-014,15A single-pole breaker,each,,
DST-015,15A single-pole breaker (1/2),each,,
DST-016,15A three-pole breaker,each,,
GEN-004,16mm² s/s wire (green),m,,
TRM-002,175A copper lugs,each,,
DST-017,175A double-pole BJ-Type breaker (Modern),each,,
DST-018,175A double-pole BJ-Type breaker (Voltron),each,,
DST-019,175A THQMV breaker,each,,
DST-020,175A three-pole BJ-Type breaker,each,,
HDW-013,1x10 self-thread screws,each,,
HDW-014,1x12 self-thread screws,each,,
DST-021,2-Circuit -1-Phase Isolator,each,,
DEV-009,2-gang switch plates (Bticino),each,,
DEV-010,2-gang switch plates (Vimar),each,,
DEV-011,2-pin male plug 115V,each,,
SRV-004,2-Way 100A 1-PH Meter Bank,each,,
SRV-005,2-Way 200A 1-PH Meter Bank (Boodoo's),each,,
